kegiatan,nama_paket,nama_jalan,jenis_konstruksi,volume,satuan
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Makaliwe Raya,u-ditch 1000,"125,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Susilo Raya (sisi Kiri),trotoar,"2.896,68",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Susilo Raya (sisi Kiri),u-ditch 1000,"370,80",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Susilo Raya (sisi Kanan),trotoar,"50,13",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Dr Susilo I (sisi Kanan),trotoar,"890,31",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Dr Susilo I (sisi Kanan),u-ditch 1000,"183,20",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Dr Susilo I (sisi Kiri),trotoar,"1.210,90",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Dr Susilo I (sisi Kiri),u-ditch 1000,"344,10",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Muwardi II (sisi Kiri),trotoar,"1.412,89",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Muwardi II (sisi Kiri),u-ditch 1000,"93,90",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Muwardi II (sisi Kanan),trotoar,"1.463,66",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Muwardi II (sisi Kanan),u-ditch 1000,"407,80",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Muwardi Raya (sisi Kanan),trotoar,"1.088,36",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Muwardi Raya (sisi Kanan),u-ditch 1000,"366,60",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Muwardi Raya (sisi Kiri),trotoar,"2.282,29",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Latumenten Raya (median),trotoar,"35,91",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Latumenten Raya (Kiri),trotoar,"2.576,56",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Latumenten Raya (Kiri),u-ditch 1000,"464,90",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),U-Turn Jl. Latumenten Raya - Jl. Dr. Makaliwe,trotoar,"1.297,74",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),U-Turn Jl. Dr. Makaliwe - Jl. Satria (Taman),trotoar,"714,07",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 3 (Trotoar Kawasan Grogol dsk),Jl. Daan Mogot (sisi Kanan),trotoar,"3.315,80",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Daan Mogot (sisi Kanan),ubin pengarah,"1.386,99",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 4 (Kelengkapan Prasarana Trotoar),U-Turn Jl. Dr. Makaliwe - Jl. Satria (Taman),ubin pengarah,"352,75",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 4 (Kelengkapan Prasarana Trotoar),U-Turn Jl. Latumenten Raya - Jl. Dr. Makaliwe,ubin pengarah,"616,85",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Latumenten Raya (Kiri),ubin pengarah,"627,90",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Latumenten Raya (median),ubin pengarah,"10,24",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Makaliwe Raya (sisi Kiri),ubin pengarah,"502,60",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Muwardi Raya (sisi Kiri),ubin pengarah,"925,20",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Muwardi Raya (sisi Kanan),ubin pengarah,"431,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Muwardi II (sisi Kanan),ubin pengarah,"525,85",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Muwardi II (sisi Kiri),ubin pengarah,"410,50",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Dr Susilo I (sisi Kiri),ubin pengarah,"567,50",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Dr Susilo I (sisi Kanan),ubin pengarah,"395,10",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Susilo Raya (sisi Kanan),ubin pengarah,"25,50",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 4 (Kelengkapan Prasarana Trotoar),Jl. Susilo Raya (sisi Kiri),ubin pengarah,"1.137,67",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 5 (Trotoar Kwasan Tanjung Duren dan sekitarnya),Jl. Tanjung Duren Utara I (sisi kiri),trotoar,"1.514,98",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 5 (Trotoar Kwasan Tanjung Duren dan sekitarnya),Jl. Tanjung Duren Utara I (sisi Kanan),trotoar,"928,63",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 5 (Trotoar Kwasan Tanjung Duren dan sekitarnya),Jl. Tanjung Duren Utara I (sisi Kanan),u-ditch 1000,"287,83",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Tanjung Duren Utara I (sisi kiri),ubin pengarah,"463,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Tanjung Duren Utara I (sisi kiri),bollard,"28,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Tanjung Duren Utara I (sisi Kanan),ubin pengarah,"463,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Tanjung Duren Utara I (sisi Kanan),bollard,"27,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 7 (Pengadaan Papan Informasi Trotoar Wilayah Kota Administrasi Jakarta Barat),Jl. Latumenten Raya (Kiri),papan informasi trotoar,"2,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 7 (Pengadaan Papan Informasi Trotoar Wilayah Kota Administrasi Jakarta Barat),Jl. Muwardi Raya (sisi Kanan),papan informasi trotoar,"1,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 7 (Pengadaan Papan Informasi Trotoar Wilayah Kota Administrasi Jakarta Barat),Jl. Tubagus Angke (sisi Kiri),papan informasi trotoar,"2,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Barat ,Paket 7 (Pengadaan Papan Informasi Trotoar Wilayah Kota Administrasi Jakarta Barat),Jl. Tanjung duren,papan informasi trotoar,"1,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur,Paket 1 (Trotoar Jl. Pulomas Raya dan sekitarnya),Jl. Pulomas Raya (sisi kiri),trotoar,"2.802,16",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur,Paket 1 (Trotoar Jl. Pulomas Raya dan sekitarnya),Jl. Pulomas Raya (sisi kiri),u-ditch 800,"277,58",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur,Paket 1 (Trotoar Jl. Pulomas Raya dan sekitarnya),Jl. Pulomas Raya (sisi kanan),trotoar,"2.671,25",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur,Paket 1 (Trotoar Jl. Pulomas Raya dan sekitarnya),Jl. Pulomas Raya (sisi kanan),u-ditch 1000,"81,89",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur,Paket 1 (Trotoar Jl. Pulomas Raya dan sekitarnya),Jl. Pulomas Raya (sisi kanan),u-ditch 800,"257,10",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur,Paket 1 (Trotoar Jl. Pulomas Raya dan sekitarnya),Jl. Pulomas Jaya (sisi kiri ),trotoar,"1.745,51",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur,Paket 1 (Trotoar Jl. Pulomas Raya dan sekitarnya),Jl. Pulomas Jaya (sisi kiri ),u-ditch 800,"151,50",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur,Paket 1 (Trotoar Jl. Pulomas Raya dan sekitarnya),Jl. Pulomas Jaya (sisi kanan),trotoar,"1.695,72",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur,Paket 1 (Trotoar Jl. Pulomas Raya dan sekitarnya),Jl. Pulomas Jaya (sisi kanan),u-ditch 1000,"446,92",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur,Paket 1 (Trotoar Jl. Pulomas Raya dan sekitarnya),Jl. Tanah Mas Raya (sisi Kiri),trotoar,"1.593,78",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur,Paket 1 (Trotoar Jl. Pulomas Raya dan sekitarnya),Jl. Tanah Mas Raya (sisi Kiri),u-ditch 1000,"462,22",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur,Paket 1 (Trotoar Jl. Pulomas Raya dan sekitarnya),Jl. Tanah Mas Raya (sisi Kanan),trotoar,"1.458,03",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur,Paket 1 (Trotoar Jl. Pulomas Raya dan sekitarnya),Jl. Tanah Mas Raya (sisi Kanan),u-ditch 1000,"272,28",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur,Paket 1 (Trotoar Jl. Pulomas Raya dan sekitarnya),Jl. Sirap (Sisi Kiri),trotoar,"521,54",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur,Paket 1 (Trotoar Jl. Pulomas Raya dan sekitarnya),Jl. Sirap (sisi Kanan),trotoar,"605,42",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 2 (Trotoar Jl. Pemuda dan Jl. Perintis Kemerdekaan),Jl. Pemuda (sisi Kanan),trotoar,"5.765,98",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 2 (Trotoar Jl. Pemuda dan Jl. Perintis Kemerdekaan),Jl. Pemuda (sisi Kiri),trotoar,"3.424,00",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 2 (Trotoar Jl. Pemuda dan Jl. Perintis Kemerdekaan),Jl . Perintis Kemerdekaan (sisi Kanan),trotoar,"5.192,81",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 2 (Trotoar Jl. Pemuda dan Jl. Perintis Kemerdekaan),Jl . Perintis Kemerdekaan (sisi Kanan),u-ditch 1000,"1.249,50",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Pulomas Raya (sisi kiri),ubin pengarah,"1.064,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Pulomas Raya (sisi kiri),bangku,"3,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Pulomas Raya (sisi kiri),bollard,"35,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Pulomas Raya (sisi kanan),ubin pengarah,"1.259,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Pulomas Raya (sisi kanan),bangku,"2,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Pulomas Raya (sisi kanan),bollard,"34,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Pulomas Jaya (sisi kanan),ubin pengarah,"614,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Pulomas Jaya (sisi kanan),bangku,"2,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Pulomas Jaya (sisi kanan),bollard,"34,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Pulomas Jaya (sisi kiri),ubin pengarah,"614,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Pulomas Jaya (sisi kiri),bollard,"35,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Tanah Mas Raya (sisi Kanan),ubin pengarah,"409,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Tanah Mas Raya (sisi Kanan),bangku,"3,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Tanah Mas Raya (sisi Kanan),bollard,"35,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Tanah Mas Raya (sisi Kiri),ubin pengarah,"614,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Tanah Mas Raya (sisi Kiri),bangku,"1,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Tanah Mas Raya (sisi Kiri),bollard,"35,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Sirap (Sisi Kiri),ubin pengarah,"174,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Sirap (Sisi Kiri),bangku,"4,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Sirap (Sisi Kiri),bollard,"20,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Sirap (sisi Kanan),ubin pengarah,"164,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Sirap (sisi Kanan),bollard,"15,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Pemuda (sisi Kanan),ubin pengarah,"2.120,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Pemuda (sisi Kanan),bangku,"21,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Pemuda (sisi Kanan),bollard,"99,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Pemuda (sisi Kiri),ubin pengarah,"2.120,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Pemuda (sisi Kiri),bangku,"22,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl. Pemuda (sisi Kiri),bollard,"100,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl . Perintis Kemerdekaan (sisi Kanan),ubin pengarah,"1.460,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 3 (Kelengkapan Prasarana Trotoar),Jl . Perintis Kemerdekaan (sisi Kanan),bangku,"24,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 4 (Trotoar Jl. Pulomas Timur dan Jl. Pulo Nangka),Jl. Pulomas Timur (Sisi Kiri),trotoar,"1.986,62",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 4 (Trotoar Jl. Pulomas Timur dan Jl. Pulo Nangka),Jl. Pulomas Timur (Sisi Kanan),trotoar,"631,18",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 4 (Trotoar Jl. Pulomas Timur dan Jl. Pulo Nangka),Jl. Pulo Nangka ( sisi kiri),trotoar,"1.493,03",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 4 (Trotoar Jl. Pulomas Timur dan Jl. Pulo Nangka),Jl. Pulo Nangka ( sisi kiri),u-ditch 1000,"575,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,"Paket 5 (Trotoar Jl. Jenderal Ahmad Yani, Jl. Tener dsk)",Jl. A. Yani (sisi Kiri),trotoar,"6.341,34",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,"Paket 5 (Trotoar Jl. Jenderal Ahmad Yani, Jl. Tener dsk)",Jl. A Yani ( sisi Kanan ),trotoar,"8.680,74",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,"Paket 5 (Trotoar Jl. Jenderal Ahmad Yani, Jl. Tener dsk)",Jl. Pulomas Raya Selatan (sisi Kanan),trotoar,"1.140,93",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,"Paket 5 (Trotoar Jl. Jenderal Ahmad Yani, Jl. Tener dsk)",Jl. Pulomas Raya Selatan ( sisi Kiri),trotoar,"853,63",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,"Paket 5 (Trotoar Jl. Jenderal Ahmad Yani, Jl. Tener dsk)",Jl. Tener ( sisi Kiri),trotoar,"1.709,51",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,"Paket 5 (Trotoar Jl. Jenderal Ahmad Yani, Jl. Tener dsk)",Jl. Tener ( sisi Kiri),u-ditch 1000,"662,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,"Paket 5 (Trotoar Jl. Jenderal Ahmad Yani, Jl. Tener dsk)",Jl. Tener (sisi Kanan),trotoar,"850,67",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,"Paket 5 (Trotoar Jl. Jenderal Ahmad Yani, Jl. Tener dsk)",Jl. Pondasi Ujung (sisi Kanan ),trotoar,"530,71",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,"Paket 5 (Trotoar Jl. Jenderal Ahmad Yani, Jl. Tener dsk)",Jl. Pondasi Ujung (sisi Kiri),trotoar,"450,18",m2
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Pulomas Timur (Sisi Kiri),ubin pengarah,"786,52",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Pulomas Timur (Sisi Kanan),ubin pengarah,"337,08",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Pulo Nangka ( sisi kiri),ubin pengarah,"576,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. A. Yani (sisi Kiri),ubin pengarah,"2.170,32",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. A. Yani (sisi Kiri),bangku,"19,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. A. Yani (sisi Kiri),bollard,"413,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. A Yani ( sisi Kanan ),ubin pengarah,"2.216,32",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. A Yani ( sisi Kanan ),bangku,"18,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. A Yani ( sisi Kanan ),bollard,"414,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Pulomas Raya Selatan (sisi Kanan),ubin pengarah,"561,80",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Pulomas Raya Selatan ( sisi Kiri),ubin pengarah,"561,80",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Tener ( sisi Kiri),ubin pengarah,"523,63",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Tener ( sisi Kiri),bollard,"31,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Tener (sisi Kanan),ubin pengarah,"150,00",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Tener (sisi Kanan),bollard,"31,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Pondasi Ujung (sisi Kanan ),bollard,"373,63",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Pondasi Ujung (sisi Kanan ),ubin pengarah,"373,63",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Pondasi Ujung (sisi Kiri),ubin pengarah,"323,63",m1
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Pondasi Ujung (sisi Kiri),bollard,"32,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Pemuda (sisi kanan),bollard,"127,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Pemuda (sisi kiri),bollard,"127,00",unit
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Timur ,Paket 6 (Kelengkapan Prasarana Trotoar),Jl. Perintis Kemerdekaan,bollard,"220,00",unit
